provider,title,description,url,thumbnailUrl,author,price,level,category,score,skills,lectureUpdatedAt,duration,details
udemy,안드로이드 자바(Android JAVA),자바 기초,https://www.udemy.com/course/ueinvorv/,https://img-c.udemycdn.com/course/240x135/1176430_c136_4.jpg,Softcampus Academy,23000,모든 수준,프로그래밍 언어,4.2,Java,2018/02,13:34,모바일 안드로이드 앱개발에 필요한 핵심 자바를 학습하게된다.
udemy,직접 등록하는 iMessage Sticker - 프로젝트 설정부터 앱스토어 제출까지,누구나 따라 할 수 있는 정말 쉬운 iMessage(아이메시지) Sticker(스티커) 등록하기 강좌입니다! 아이메세지 스티커를 만들어서 자신의 작품을 전세계에 판매 해 보세요!,https://www.udemy.com/course/how-to-create-imessagesticker-korean/,https://img-c.udemycdn.com/course/240x135/1241686_2f7a_3.jpg,Dundin J,49000,초급자,모바일 개발,4.5,iOS 개발,2017/08,0:44,"직접 만든 iMessageSticker를 자신의 아이폰에서 사용 할 수 있습니다., iMessageSticker를 AppStore에 업로드 하고 유료 또는 무료로 판매 할 수 있습니다."
udemy,유니티 (Unity) 로 시작하는 C# 프로그래밍,게임을 만들기 위해 유니티로 기초 C#을 배웁니다. 디자이너나 기획자 분들이나 프로그래밍에 전혀 해보지 않은 분들을 위한 강좌입니다.,https://www.udemy.com/course/unity-c-part-1/,https://img-c.udemycdn.com/course/240x135/1266672_7e64_5.jpg,형선 최,59000,초급자,게임 개발,4.8,게임 개발 입문,2020/12,22:58,"게임을 만들기 위한 C#을 기본적인 기능의  습득, C#의 구조지향과 객체지향의 기본을 습득, 유니티 API 를 사용하는 방법을 배움, 중급 코스를 배울 수 있는 기초적인 능력 습득"
udemy,모던 리액트(React)와 리덕스(Redux),"NPM, Webpack, ES6 가 지원되는 앱개발 튜토리얼을 통해 리액트와 리덕스 마스터하세요!",https://www.udemy.com/course/react-redux-korean/,https://img-c.udemycdn.com/course/240x135/1080152_f76d.jpg,"Will Park, 블로터 아카데미KO",88000,모든 수준,웹 개발,4.7,React JS,2017/12,26:42,"리액트와 리덕스를 가지고 멋진 싱글 페이지 어플리케이션 만듭니다, 리덕스 어플리케이션 구조화 뒤의 기본 개념 마스터하게 됩니다, 구성화 가능한 컴포넌트를 만드는 것의 장점을 이해하게 됩니다, 다른 모든이에게 어떻게 리덕스가 동작하는지 설명하는 기본이 제대로된 엔지니어가 됩니다, 리액트를 서포트하는 툴체인인 npm, webpack, babel, ES6/ES2015 자바스크립트 구문에 익숙해집니다"
udemy,CUDA 프로그래밍 기초,"CUDA 는 GPU를 움직이는 프로그래밍 언어입니다. 이 강좌는 C, C++ 의 기본기가 있는 개발자를 대상으로 GPU 머신을 어떻게 프로그래밍 하는지 가르쳐 드립니다.",https://www.udemy.com/course/gpu-cuda/,https://img-c.udemycdn.com/course/240x135/1269304_94d7_3.jpg,광성 최,59000,초급자,프로그래밍 언어,3.7,CUDA,2017/07,2:22,"GPU 구조, GPU와 데스크탑 통신 방법, CUDA 프로그래밍 기초 및 응용, CUDA 프로그래밍 주의 사항"
udemy,Swift4로 배우는 iOS11 프로그래밍 : 인공지능(AI) 아이폰 앱 개발하기,프로그래밍의 기초부터 차근차근 배워 인공지능이 탑재된 아이폰 앱을 만들면서 iOS개발을 배우는 강좌입니다. iOS11에 새로 추가된 Core ML과 Vision 프레임워크를 미리 활용해보세요!,https://www.udemy.com/course/swift4-ios11-ai-app/,https://img-c.udemycdn.com/course/240x135/1270198_192b_3.jpg,Soojin Ro,88000,모든 수준,모바일 개발,4.6,iOS 개발,2017/07,7:50,"iOS 앱을 만들 수 있게 됩니다., 스위프트로 프로그래밍할 수 있게 됩니다, 본인이 만든 iOS앱을 앱스토어에서 판매할 수 있음 (애플 개발자계정 가입비 별도 - 약 12만원, 필수 아님)"
udemy,초보자도 쉽게 할 수 있는 아이폰 어플 만들기,Xcode with Swift,https://www.udemy.com/course/icearrowswiftbeginner/,https://img-c.udemycdn.com/course/240x135/1223654_a7a2_2.jpg,Hoonyong Lee,29000,초급자,모바일 개발,4.7,iOS 개발,2017/06,15:45,"아이폰 어플을 만들 수 있게 되며, 스스로 공부 할 수 있는 기본 지식을 얻게 됩니다."
udemy,DevOps 첫걸음: Docker에서 Rancher를 이용한 CD까지,Docker container를 이용한 서비스 구축 및 Continuous Deploy,https://www.udemy.com/course/devops-docker-rancher-cd/,https://img-c.udemycdn.com/course/240x135/1182450_edcd_3.jpg,Ralf Yang,39000,초급자,소프트웨어 엔지니어링,3.5,Docker,2017/05,2:28,"Docker, git, vagrant, container orchestration, Continuous Delivery Process"
udemy,유니티 연습 : 디아블로3 스킬 시스템의 실제적인 프로그래밍 구현,실제 게임인 디아블로3를 가지고 이 게임의 스킬시스템과 UI를 실제로 구현해보는 강의.,https://www.udemy.com/course/unity-practice-diablo-3-skill-system-programming-korean/,https://img-c.udemycdn.com/course/240x135/1237492_7331_2.jpg,Dong Hun Lee,32000,모든 수준,게임 개발,2.8,Unity,2017/05,2:11,"디아블로3 스킬시스템의 실제 구현방법. 추상클래스를 중심으로, 스킬시스템 UI 작성방법. 스크롤뷰 설정방법, 스킬시스템 키보드 키맵핑 시스템 구축방법. 같은 키를 눌러도 다른 스킬이 나가는 것을 구현."
udemy,IntelliJ Gradle로 Spring Framework 빌드하고 리팩토링하기,스프링(Spring framework) 개발 환경 구축하고 빌드 적용까지!,https://www.udemy.com/course/build_refactoring_with_intellij-spring/,https://img-c.udemycdn.com/course/240x135/1061966_2b0b_2.jpg,Kyeongrok Kim,35000,초급자,프로그래밍 언어,3.5,IntelliJ,2017/02,3:57,"Spring 개발 환경 구축 (Jdk, Intelli J, wnmp, Heidisql, Gradle), 디자인 패턴 적용 (Strategy Pattern), DB 생성과 연동 방법, 리팩토링 방법, 스프링 적용하기(@Bean Annotation, XML)"
